VAE_CausalDsprite_ber_shape2_scale5_ld2
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,[],0.0,0.05,nan,nan,3,0,49
0+X,[],0.0,0.1,nan,nan,3,0,49
0+X,[],0.0,0.5,nan,nan,3,0,49
0+X,[],0.0,1,nan,nan,3,0,49
0+Y,"['Y0', 'Y3', 'Y4']",1.0,0.05,0.13,0.03,3,50,49
0+Y,"['Y3', 'Y4']",1.0,0.1,0.133,0.03,3,50,49
0+Y,"['Y2', 'Y3', 'Y4', 'Y5']",1.0,0.5,0.159,0.031,3,50,49
0+Y,"['Y2', 'Y3', 'Y4', 'Y5']",1.0,1,0.175,0.032,3,50,49
1+X,"['X3', 'X4', 'X5', 'X6', 'X7']",0.92,0.05,0.137,0.047,3,46,49
1+X,"['X3', 'X4', 'X5', 'X6', 'X7']",0.92,0.1,0.232,0.045,3,46,49
1+X,"['X3', 'X4', 'X5', 'X6', 'X7']",0.9,0.5,0.406,0.058,3,45,49
1+X,"['X3', 'X4', 'X5', 'X6', 'X7']",0.9,1,0.396,0.058,3,45,49
1+Y,"['Y1', 'Y2']",0.08,0.05,0.163,0.042,3,4,49
1+Y,"['Y1', 'Y2', 'Y3']",0.08,0.1,0.169,0.045,3,4,49
1+Y,"['Y2', 'Y3']",0.1,0.5,0.207,0.075,3,5,49
1+Y,"['Y2', 'Y3']",0.1,1,0.204,0.063,3,5,49
0+Y,1.0
1+X,0.91
