VAE_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,[],0.0,0.05,nan,nan,3,0,49
0+X,[],0.0,0.1,nan,nan,3,0,49
0+X,[],0.0,0.5,nan,nan,3,0,49
0+X,[],0.0,1,nan,nan,3,0,49
0+Y,"['Y2', 'Y3', 'Y5', 'Y6']",1.0,0.05,0.046,0.021,3,50,49
0+Y,"['Y2', 'Y3', 'Y5', 'Y6']",1.0,0.1,0.06,0.014,3,50,49
0+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.5,0.095,0.007,3,50,49
0+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,1,0.107,0.004,3,50,49
1+X,[],0.0,0.05,nan,nan,3,0,49
1+X,[],0.0,0.1,nan,nan,3,0,49
1+X,[],0.0,0.5,nan,nan,3,0,49
1+X,[],0.0,1,nan,nan,3,0,49
1+Y,"['Y4', 'Y5', 'Y6']",1.0,0.05,0.061,0.026,3,50,49
1+Y,"['Y4', 'Y5']",1.0,0.1,0.074,0.017,3,50,49
1+Y,"['Y1', 'Y4', 'Y5']",1.0,0.5,0.108,0.011,3,50,49
1+Y,"['Y1', 'Y2', 'Y4', 'Y5']",1.0,1,0.118,0.011,3,50,49
2+X,[],0.0,0.05,nan,nan,3,0,49
2+X,[],0.0,0.1,nan,nan,3,0,49
2+X,[],0.0,0.5,nan,nan,3,0,49
2+X,[],0.0,1,nan,nan,3,0,49
2+Y,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.05,0.053,0.032,3,50,49
2+Y,"['Y2', 'Y4', 'Y5', 'Y6']",1.0,0.1,0.068,0.026,3,50,49
2+Y,"['Y2', 'Y4', 'Y5']",1.0,0.5,0.091,0.012,3,50,49
2+Y,"['Y1', 'Y2', 'Y5']",1.0,1,0.102,0.008,3,50,49
3+X,[],0.0,0.05,nan,nan,3,0,49
3+X,[],0.0,0.1,nan,nan,3,0,49
3+X,[],0.0,0.5,nan,nan,3,0,49
3+X,['X6'],0.02,1,0.136,0.0,3,1,49
3+Y,"['Y1', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.05,0.043,0.019,3,50,49
3+Y,"['Y1', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.1,0.062,0.019,3,50,49
3+Y,"['Y0', 'Y1', 'Y4', 'Y5', 'Y6']",1.0,0.5,0.099,0.015,3,50,49
3+Y,"['Y0', 'Y1', 'Y4', 'Y5', 'Y6']",0.98,1,0.106,0.011,3,49,49
4+X,[],0.0,0.05,nan,nan,3,0,49
4+X,[],0.0,0.1,nan,nan,3,0,49
4+X,[],0.0,0.5,nan,nan,3,0,49
4+X,[],0.0,1,nan,nan,3,0,49
4+Y,"['Y1', 'Y3', 'Y5', 'Y6']",1.0,0.05,0.073,0.045,3,50,49
4+Y,"['Y3', 'Y5']",1.0,0.1,0.087,0.035,3,50,49
4+Y,"['Y3', 'Y4', 'Y5', 'Y6']",1.0,0.5,0.118,0.022,3,50,49
4+Y,"['Y3', 'Y4', 'Y5', 'Y6']",1.0,1,0.124,0.019,3,50,49
5+X,[],0.0,0.05,nan,nan,3,0,49
5+X,[],0.0,0.1,nan,nan,3,0,49
5+X,[],0.0,0.5,nan,nan,3,0,49
5+X,[],0.0,1,nan,nan,3,0,49
5+Y,"['Y4', 'Y5', 'Y6']",1.0,0.05,0.052,0.036,3,50,49
5+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.1,0.069,0.038,3,50,49
5+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.5,0.094,0.029,3,50,49
5+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,1,0.104,0.025,3,50,49
6+X,[],0.0,0.05,nan,nan,3,0,49
6+X,[],0.0,0.1,nan,nan,3,0,49
6+X,[],0.0,0.5,nan,nan,3,0,49
6+X,[],0.0,1,nan,nan,3,0,49
